"@timestamp","@version","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.type","agent.version","ecs.version","event.dataset","event.module","event.timezone","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.version","input.type","log.file.path","log.offset","service.type","system.syslog.hostname","system.syslog.message","system.syslog.pid","system.syslog.program","system.syslog.timestamp","system.syslog.timestamp_tz",tags,"td.client-decoy","td.client_addr","td.client_geoip.city_name","td.client_geoip.continent_code","td.client_geoip.country_code2","td.client_geoip.country_code3","td.client_geoip.country_name","td.client_geoip.dma_code","td.client_geoip.ip","td.client_geoip.latitude","td.client_geoip.location.lat","td.client_geoip.location.lon","td.client_geoip.longitude","td.client_geoip.postal_code","td.client_geoip.region_code","td.client_geoip.region_name","td.client_geoip.timezone","td.core","td.decoy_hostname","td.decoy_port","td.detector_addr","td.detector_geoip.city_name","td.detector_geoip.continent_code","td.detector_geoip.country_code2","td.detector_geoip.country_code3","td.detector_geoip.country_name","td.detector_geoip.dma_code","td.detector_geoip.ip","td.detector_geoip.latitude","td.detector_geoip.location.lat","td.detector_geoip.location.lon","td.detector_geoip.longitude","td.detector_geoip.postal_code","td.detector_geoip.region_code","td.detector_geoip.region_name","td.detector_geoip.timezone","td.hostname-core","td.loglevel","timestamp_raw"
"May 19, 2020 @ 21:32:14.000",1,E8TZLnIBDk9DYwwE98r4,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,958,979",system,motorllama,"May 19, 2020 17:32:14.257114 (Core 1) INFO: faileddecoy 115.192.49.27 vpn.norcocmh.org 207.73.7.12:443",7332,tapdance,"May 19 17:32:14","May 19 17:32:14 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","115.192.49.27:207.73.7.12","115.192.49.27",Hangzhou,AS,CN,CN,China,,"115.192.49.27","30.294","30.294","120.162","120.162",,ZJ,Zhejiang,"Asia/Shanghai",1,"vpn.norcocmh.org",443,"207.73.7.12",,NA,US,US,"United States",,"207.73.7.12","37.751","37.751","-97.822","-97.822",,,,"America/Chicago","motorllama:1",INFO,"May 19, 2020 17:32:14.257114"
"May 19, 2020 @ 21:32:14.000",1,"VMTZLnIBDk9DYwwE-8rR","re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,977,737",system,motorllama,"May 19, 2020 17:32:14.988306 (Core 2) INFO: faileddecoy 80.210.242.128 psconfig.aglt2.org 192.41.236.105:443",7332,tapdance,"May 19 17:32:14","May 19 17:32:14 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","80.210.242.128:192.41.236.105","80.210.242.128",,AS,IR,IR,Iran,,"80.210.242.128","35.696","35.696","51.423","51.423",,,,"Asia/Tehran",2,"psconfig.aglt2.org",443,"192.41.236.105",,NA,US,US,"United States",,"192.41.236.105","37.751","37.751","-97.822","-97.822",,,,"America/Chicago","motorllama:2",INFO,"May 19, 2020 17:32:14.988306"
"May 19, 2020 @ 21:32:14.000",1,"ZMTZLnIBDk9DYwwE-8rc","re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,977,585",system,motorllama,"May 19, 2020 17:32:14.988297 (Core 2) INFO: faileddecoy 80.210.242.128 bravo.sph.umich.edu 141.211.55.40:443",7332,tapdance,"May 19 17:32:14","May 19 17:32:14 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","80.210.242.128:141.211.55.40","80.210.242.128",,AS,IR,IR,Iran,,"80.210.242.128","35.696","35.696","51.423","51.423",,,,"Asia/Tehran",2,"bravo.sph.umich.edu",443,"141.211.55.40","Ann Arbor",NA,US,US,"United States",505,"141.211.55.40","42.307","42.307","-83.706","-83.706",48105,MI,Michigan,"America/Detroit","motorllama:2",INFO,"May 19, 2020 17:32:14.988297"
"May 19, 2020 @ 21:32:09.000",1,v8TZLnIBDk9DYwwE5Mhl,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,916,836",system,motorllama,"May 19, 2020 17:32:09.000968 (Core 0) INFO: faileddecoy 95.47.57.23 ccb.isr.umich.edu 141.211.33.81:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","95.47.57.23:141.211.33.81","95.47.57.23",Gyami,AS,TM,TM,Turkmenistan,,"95.47.57.23","37.907","37.907","58.47","58.47",,S,Ashgabat,"Asia/Ashgabat",0,"ccb.isr.umich.edu",443,"141.211.33.81","Ann Arbor",NA,US,US,"United States",505,"141.211.33.81","42.254","42.254","-83.837","-83.837",48106,MI,Michigan,"America/Detroit","motorllama:0",INFO,"May 19, 2020 17:32:09.000968"
"May 19, 2020 @ 21:32:09.000",1,0cTZLnIBDk9DYwwE5Mht,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,919,232",system,motorllama,"May 19, 2020 17:32:09.151439 (Core 3) INFO: faileddecoy 31.2.234.92 franklin.nmu.edu 198.110.200.65:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","31.2.234.92:198.110.200.65","31.2.234.92",,AS,IR,IR,Iran,,"31.2.234.92","35.696","35.696","51.423","51.423",,,,"Asia/Tehran",3,"franklin.nmu.edu",443,"198.110.200.65",Marquette,NA,US,US,"United States",553,"198.110.200.65","46.578","46.578","-87.455","-87.455",49855,MI,Michigan,"America/Detroit","motorllama:3",INFO,"May 19, 2020 17:32:09.151439"
"May 19, 2020 @ 21:32:09.000",1,1cTZLnIBDk9DYwwE5Mhy,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,917,133",system,motorllama,"May 19, 2020 17:32:09.000975 (Core 0) INFO: faileddecoy 95.47.57.23 www.davenport.edu 66.202.198.90:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","95.47.57.23:66.202.198.90","95.47.57.23",Gyami,AS,TM,TM,Turkmenistan,,"95.47.57.23","37.907","37.907","58.47","58.47",,S,Ashgabat,"Asia/Ashgabat",0,"www.davenport.edu",443,"66.202.198.90","Grand Rapids",NA,US,US,"United States",563,"66.202.198.90","42.88","42.88","-85.535","-85.535",49512,MI,Michigan,"America/Detroit","motorllama:0",INFO,"May 19, 2020 17:32:09.000975"
"May 19, 2020 @ 21:32:09.000",1,1sTZLnIBDk9DYwwE5Mhy,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,916,983",system,motorllama,"May 19, 2020 17:32:09.000972 (Core 0) INFO: faileddecoy 95.47.57.23 www.muskegonisd.org 198.110.48.124:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","95.47.57.23:198.110.48.124","95.47.57.23",Gyami,AS,TM,TM,Turkmenistan,,"95.47.57.23","37.907","37.907","58.47","58.47",,S,Ashgabat,"Asia/Ashgabat",0,"www.muskegonisd.org",443,"198.110.48.124",Muskegon,NA,US,US,"United States",563,"198.110.48.124","43.196","43.196","-86.272","-86.272",49441,MI,Michigan,"America/Detroit","motorllama:0",INFO,"May 19, 2020 17:32:09.000972"
"May 19, 2020 @ 21:32:09.000",1,xsTZLnIBDk9DYwwE5Mhn,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,918,930",system,motorllama,"May 19, 2020 17:32:09.151431 (Core 3) INFO: faileddecoy 31.2.234.92 www.ssbxe.nmc.edu 198.108.199.116:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","31.2.234.92:198.108.199.116","31.2.234.92",,AS,IR,IR,Iran,,"31.2.234.92","35.696","35.696","51.423","51.423",,,,"Asia/Tehran",3,"www.ssbxe.nmc.edu",443,"198.108.199.116","Traverse City",NA,US,US,"United States",540,"198.108.199.116","44.761","44.761","-85.62","-85.62",49686,MI,Michigan,"America/Detroit","motorllama:3",INFO,"May 19, 2020 17:32:09.151431"
"May 19, 2020 @ 21:32:09.000",1,wMTZLnIBDk9DYwwE5Mhl,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,919,079",system,motorllama,"May 19, 2020 17:32:09.151436 (Core 3) INFO: faileddecoy 31.2.234.92 www.myhealthdirect.com 141.193.179.50:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","31.2.234.92:141.193.179.50","31.2.234.92",,AS,IR,IR,Iran,,"31.2.234.92","35.696","35.696","51.423","51.423",,,,"Asia/Tehran",3,"www.myhealthdirect.com",443,"141.193.179.50",,NA,US,US,"United States",,"141.193.179.50","37.751","37.751","-97.822","-97.822",,,,"America/Chicago","motorllama:3",INFO,"May 19, 2020 17:32:09.151436"
"May 19, 2020 @ 21:32:09.000",1,0MTZLnIBDk9DYwwE5Mht,"re-tapdance-2020.05.19",,"_doc","7e64d42b-29ef-4e8f-95ef-5cb618261ade",motorllama,"195aca92-bf95-4438-aa54-06bf94bc4c43",filebeat,"7.6.0","1.4.0","system.syslog",system,"-04:00",syslog,"x86_64",false,motorllama,ae9d65a696424eaea212376d05ede3c7,motorllama,xenial,debian,"4.4.0-137-generic",Ubuntu,ubuntu,"16.04.6 LTS (Xenial Xerus)",log,"/var/log/syslog","458,916,672",system,motorllama,"May 19, 2020 17:32:09.000964 (Core 0) INFO: faileddecoy 95.47.57.23 staging-employertoolkit.rpmi.co.uk 64.113.59.124:443",7332,tapdance,"May 19 17:32:09","May 19 17:32:09 -04:00","[""beats_input_codec_plain_applied"",""_geoip_lookup_failure"",""tapdance"",""grokked"",""faileddecoy""]","95.47.57.23:64.113.59.124","95.47.57.23",Gyami,AS,TM,TM,Turkmenistan,,"95.47.57.23","37.907","37.907","58.47","58.47",,S,Ashgabat,"Asia/Ashgabat",0,"staging-employertoolkit.rpmi.co.uk",443,"64.113.59.124",,NA,US,US,"United States",,"64.113.59.124","37.751","37.751","-97.822","-97.822",,,,"America/Chicago","motorllama:0",INFO,"May 19, 2020 17:32:09.000964"
